PinNum,Shrt_Desc,Trans_Fat,Water,Calories,Protein,Total Fat,Carbohydrt,Fiber_TD,Ash,Calcium,Phosphorus,Iron,Sodium,Potassium,Magnesium,Zinc,Copper,Manganese,Selenium,Vit_A,Vit_E,Thiamin,Riboflavin,Niacin,Panto_acid,Vit_B6,Folate,Vit_B12,Vit_C,FA_Sat,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,WaterAmount,AlcoholContent,FlavorContent,Added_Sugars,Sugars,Vitamin D,Sugar Alcohols
206, Cinnamon Powder,0,10,357,4.5,2.16,79.8,20.3,3.5,1.6,0,4.1,10,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,
216, Citric Acid,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
223, Clam Extract Powder 1100,0,5,324,54,0.1,27,0,10.8,0.2,0,0.4,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,10,0,0,0,0,0,0,0,3.20000005,,,,
230, Clove Powder,0,0,432,6,14.5,69.41,11.1,5,0,0,9.5,250,1.2,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
234,CMC 7H0F,0,7,300,0,0,75,75,25,8,0,1,7800,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
238, Cocoa Essence Dark,0.01,43,329,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,47,57,-1,0.1,,
239, Cocoa Extract U88,0,0,574,0,0,91.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
240,Cocoa Powder 200 DP-11,0,3,333,23.3,11,35.3,29.7,0,157,786,14,20,3877,502,0,0,0,0,15,0.9,0.36,0.36,2.97,1.53,0.15,0,0,0,6.6,0,0,0.28,0,0,0,0,0,0,0,0,0,,,
249,Coriander Powder,0,6.7,446,14.2,18.8,55,53,5.4,730,0,5.2,24,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
251, Corn Syrup Solids 42D Frodex,0,0,384,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
258,Butter Code LBBDF0190 repl Cream,0,2.99,651,16.4,56.4,19.5,0,4.73,559,0,0.1,717,696.15,0,0,0,0,0,2246,0,0,0,0,0,0,0,0,3,35.3,0,0,210,0,0,0,0,0,0,0,0,0,,,
264, Cumin Powder,0,6,474,18,19.6,56.5,31.5,0,900,450,47.8,160,2.1,0,0,0,0,0,1270,0,730,380,2.5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,
266, L Cysteine,0,0,270,67.5,0,0,0,0,0,0,0.002,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
285, Tricalcium Phosphate,0,0,0,0,0,0,0,100,43.22,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
311,Whole Egg,0,3.1,578,47.35,40.95,4.95,0,3.65,231,831,6.79,523,493,42,5.28,0.196,0.125,0,900,0,0.195,1.54,0.305,5.905,0,0.171,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
312, EMC 10627 Cheese,0,3,545,37.35,37.37,14.85,0,7.43,1100,0,0.8,1260,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,24.63,0,0,130,0,0,0,0,0,0,0,0,0,,,
321,Ethyl Alcohol,0,5,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,,,
356," Coffee, SD Dark Roast",0,3.1,218,12.2,0.5,41.1,0,8.8,141,303,4.4,37,3535,329,0.35,0.14,0,0,0,0,0.01,0.07,28.17,0.1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
377, Foengreek SE,0,30,260,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
378, Foenugreek SE Unroasted,0,11.14,339,9.62,2.33,69.78,15.54,1.24,20.95,0,1.75,37.57,2.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,2.33,0,0,0,0,0,0,0,0,0,0,0,,,,
392, Garlic Powder,0,4.26,373,10.2,1.08,80.6,5.69,0,370,324,2.62,46.2,923,0,0,0,0,0,0,0,0.415,0.061,0.646,0,0,0,0,14.7,1.08,0,0,0,0,0,0,0,0,0,0,0,-1,2,,
405, Ginger Powder,0,9.38,373,9.12,5.95,70.79,12.5,4.77,116,148,11.52,32,1343,184,4.72,0,0,38.5,147,18.02,0.048,0.185,5.155,0,0.84,0,0,7,1.94,1,1.31,0,0,0,0,0,0,0,0,0,,,,
413,White Grape Juice Concentrate 68 Brix,0,32,254,1.31,0.38,62,0,0,72,57,0.94,47,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,,,,
414, Concord Grape Juice Conc,0,84,62,0.6,0.1,14.64,0.5,0.16,13.1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
419, Grill Flavor 0300-1 (L2558),40.3,0,891,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,45.3,0.2,0,0,0,0,0,0,0,0,0,,,,
445, Honey Buds,0,0,391,0.236,0,97.6,0.004,0,11.8,5.76,0.391,31.4,38.9,4,0.094,0.023,0,0.585,0,0,0.004,0.03,0.216,0,0.014,0,0,0.648,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
450, HVP 004,0,0,225,35,0.5,20,0,0,300,0,9,17522,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.88,0,0,0,0,0,0,0,0,0,0,,,
451, HVP CS,0,4,199.6,37.3,0.5,11.3,1.8,50.36,228.74,0,6.74,18128.8,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,2.5,0,0,0,0,0,0,0,0,0,0.2,,
452, HVP JE,0,3,185,33,0.1,12.5,0.8,51.4,65,0,7,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460, I+G,0,0,163,0,0,0,0,0,4.9,5.7,0.5,8380,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
474, Naturetone 3463,0,0,320,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
490, Lemon Oil CP Calif 1x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
494, Licorice SE,0,25,140,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
506, L-Leucine,0,0.2,400,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
507, Lobster Extract Powder #1900,0,4,296,25,0,49.1,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
509, LOVAGE ROOT SOLID EXTRACT,0,10,124.9,0,0,30,0,0.1,0.25,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9000015,,,,
511, Malic Acid,0,0,240,0,0,0,0,100,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
514,"Flour, Wheat",0,0,350,12.5,1,72.8,3,0,16,95,4.4,2,95,0,0,0,0,0,0,0,0.64,0.4,5.3,0,0,0.15,0,0,0.35,0.25,0.4,0,0,0,0,0,0,0,0,0,,,,
517, Maltol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
585, Molasses 3001,0,22.57,231.81,1.61,0.05,67.21,9.59,6.7,581.59,27.04,11.94,39.07,1687.7,145.34,0.68,1.38,1.76,12.03,0,0,0.02,0.04,0.73,0.59,0.47,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
586, Molasses TCT,0,24.4,265,2.08,0.1,63.9,0,0,157,39.2,10.5,310,1250,0,0,0,0,0,8,0,0.08,0.14,1.81,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,,67.1,,
590, MSG,0,1,400,100,0,0,0,0,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
593, Mustard Powder Dijon #17802,0,4,405,9.13,12.66,63.65,10.07,10.56,0.208,0.001,3.72,3203.9,1.51,2,0.01,0.01,0,0,25.98,0,0,0,0,0,0,0,0,0,0.71,9.32,0.29,0,0,0,0,0,0,0,0,0,,,,
630, Onion Powder,0,4.5,373,10,1,81,5.69,8,369,324,2.61,46.2,923,0,0,0,0,0,0,0,0.415,0.061,0.646,0,0,0,0,14.7,1.08,0,0,0,0,0,0,0,0,0,0,0,-1,2,,
633,"Flour, Rice",0,11.89,355,5.95,1.207,80.13,2.4,0.61,10,98,0.35,0,76,35,0.8,0.13,1.2,15.1,0,0.11,0.138,0.021,2.59,0.819,0.436,4,0,0,0.386,0.442,0.379,0,0,0,0,0,0,0,0,0,,,,
