flavor,orders since 2010,quantity since 2010,orders since 2007,quantity since 2007
110458,5,40,8,52
140689,5,36,7,48
140688,0,0,2,120
140685,3,66,4,74
140683,1,8,2,10
140682,0,0,1,2
140681,0,0,1,2
140680,0,0,1,2
130619,1,48,1,48
130613,0,0,1,8
130611,0,0,1,2
130610,0,0,1,2
140203,9,80,16,146
140202,0,0,1,7.5
140752,0,0,1,2
140755,7,80,8,88
140754,5,22,6,30
140757,5,200,6,240
140756,7,355,11,484
140758,1,8,2,16
140209,0,0,2,4
130496,0,0,1,2
140593,2,16,5,40
140591,16,138,19,186
140590,7,50,12,90
140596,1,50,3,150
140595,0,0,1,50
140594,0,0,1,50
10935,6,12,12,24
10936,1,8,4,14
140979,1,8,1,8
140978,1,8,1,8
140973,1,25,1,25
140972,1,8,1,8
140975,1,8,1,8
140977,1,8,1,8
140976,3,18,3,18
130059,7,38,11,58
130054,0,0,1,2
120262,13,62,24,110
120267,13,56,30,114
120266,0,0,1,2
140378,0,0,1,2
140370,1,8,1,8
10066,0,0,4,3600
1,1,8,2,20
120917,14,70,33,385
120918,1,2,2,4
150139,0,0,2,0
160131,22,183,48,511
160137,0,0,1,2
160136,25,612,38,1132
160134,33,494,60,790
160139,23,244,43,412
160138,31,1824,47,2399
111083,0,0,1,20
111085,0,0,1,20
111084,1,10,1,10
170044,4,25,6,35
170082,0,0,1,8
170080,3,64,5,304
170084,21,202,23,218
170085,3,32,5,112
130295,0,0,1,2
11153,4,8,6,12
11152,14,73,30,197
170178,0,0,1,32
170179,0,0,1,32
170176,17,72,22,104
170173,2,16,2,16
130532,5,125,5,125
130531,0,0,1,8
130536,16,435,27,1012
130534,6,88,14,212
130538,3,75,8,225
130539,2,16,4,32
170501,2,32,2,32
110594,3,6,14,28
110595,1,2,3,14
170318,1,80,1,80
170319,1,180,1,180
110609,3,6,4,8
170317,2,120,2,120
140004,2,4,3,6
170421,1,50,1,50
130288,0,0,1,2
170425,1,8,1,8
170426,1,8,1,8
170427,4,400,4,400
170428,1,200,1,200
170429,1,7,1,7
130286,5,10,16,32
130287,49,222,70,314
140167,0,0,4,104
140008,10,550,23,674
130446,10,1285,29,3185
130444,0,0,23,2040
140169,10,720,20,2080
130442,0,0,36,39192
170227,1,3,2,11
110932,2,60,2,60
170222,6,280,7,408
170223,3,40,4,48
170559,2,192,2,192
120451,2,16,5,24
150153,1,100,1,100
130199,9,72,20,160
130668,10,162,10,162
130669,3,6,3,6
130190,0,0,3,6
130663,5,40,6,48
130193,21,6499,33,11239
130664,6,49,6,49
120586,3,750,11,1550
140769,16,1737,18,1849
140764,2,32,4,56
140765,6,72,7,96
120589,0,0,2,10
140761,0,0,1,8
140762,8,750,10,870
140763,0,0,2,48
140568,0,0,1,16
140569,0,0,1,2
140565,54,671,67,761
140563,0,0,6,83
140560,11,88,14,116
140561,23,293,30,419
140787,0,0,1,40
140784,21,84,21,84
140782,5,10,5,10
140783,16,86,16,86
140788,2,18,3,34
130067,2,4,4,14
130267,6,20,14,54
130260,0,0,2,56
140308,3,500,8,1440
140303,5,22,11,46
140300,2,6,3,8
140301,0,0,2,4
140306,3,7,6,29
140307,0,0,3,550
140304,17,5125,31,7440
10720,4,18,9,52
121,4,650,10,2250
120850,5,10,11,22
10610,98,493,225,1140
140947,1,7,1,7
10615,0,0,7,6600
140410,0,0,1,1
140943,3,60,3,60
140948,4,8,4,8
140418,0,0,1,2
120921,1,2,3,8
170569,2,4,2,4
111078,2,75,4,175
130315,0,0,1,8
111216,6,18,17,56
111188,14,88,21,124
111182,11,74,17,86
111183,8,94,15,222
111180,11,32,21,78
111186,1,8,1,8
111187,4,96,8,441
111184,0,0,2,108
110850,0,0,6,12
11148,0,0,1,210
140643,0,0,1,2
130490,0,0,1,25
170164,1,8,4,32
1516,2,800,6,2300
170163,0,0,1,200
111327,4,200,21,2910
111325,11,2176,19,2816
130524,6,158,22,447
130526,7,64,11,96
130529,4,4,7,10
111329,0,0,14,4448
140644,2,6,4,51
110582,7,20,8,22
110610,5,10,7,14
110613,4,12,6,16
110612,33,148,73,290
110616,124,521,228,1811
110619,0,0,1,240
110618,3,30,6,90
170303,2,21,2,21
170305,2,7,2,7
170304,2,40,2,40
170437,1,7,1,7
170435,2,16,2,16
170433,1,30,1,30
170432,1,30,1,30
170431,1,30,1,30
170430,2,60,2,60
140173,0,0,1,100
140172,3,23,5,37
140177,2,16,4,32
130450,1,8,1,8
170543,10,12760,10,12760
170540,1,8,1,8
170231,0,0,1,10
170233,9,80,12,104
170239,1,2,1,2
170238,4,51,4,51
110921,3,33,6,39
120449,8,22,20,74
120248,3,6,4,8
130188,6,135,6,135
110326,1,40,2,80
110321,2,60,8,300
110320,27,132,75,326
130671,6,189,6,189
130670,1,16,1,16
110329,0,0,6,12
130674,5,58,5,58
140779,2,10,2,10
140778,0,0,2,16
140777,0,0,1,8
140775,1,2,2,10
140774,4,74,5,82
140147,1,8,2,16
140579,12,92,17,129
140578,0,0,1,40
140575,6,152,8,201
140574,3,24,4,40
140577,10,80,12,96
140576,6,24,8,28
140571,0,0,2,16
140570,11,46,14,58
140573,1,8,1,8
140795,2,16,2,16
140794,6,48,6,48
140796,1,20,1,20
140791,7,155,8,162
140790,1,2,2,10
140792,2,59,2,59
140799,1,20,1,20
140798,1,8,1,8
130079,35,300,86,523
130275,31,859,76,3637
130277,3,22,6,46
140311,0,0,1,50
140310,0,0,3,400
140313,0,0,2,100
140312,2,350,4,402
140315,2,16,3,24
140316,6,376,11,658
121088,1,100,1,100
121086,1,50,1,50
121087,1,16,1,16
120846,20,464,37,944
120844,13,66,52,498
140405,5,58,5,58
140951,1,16,1,16
140950,12,4010,12,4010
140400,5,200,11,384
140955,1,440,1,440
140954,11,6600,11,6600
140409,0,0,1,1
140408,0,0,1,1
20534,0,0,1,8
140736,0,0,1,8
130383,0,0,2,0
120693,7,38,17,88
140186,2,100,4,650
111063,122,706,225,1959
111200,0,0,1,8
111203,30,7850,51,13800
111206,0,0,1,8
140855,3,52,3,52
111191,1,8,1,8
111193,0,0,1,2
111192,4,26,18,90
110823,3,90,5,97
11171,0,0,1,2
110824,3,6,8,16
170158,1,8,2,16
170151,3,24,5,40
170152,1,2,2,4
170155,10,1400,11,1530
170156,0,0,1,130
170157,5,125,7,200
111337,2,4,2,4
111336,7,60,13,108
111330,0,0,16,1000
130510,1,2,7,17
140262,0,0,1,7
170332,2,24,2,24
180186,2,48,2,48
180187,2,14,2,14
180180,1,8,1,8
180181,1,7,1,7
